tipo,ambiente,dia,hora_inicio,hora_fin,curso_sigla,curso_nombre,grupo
Laboratorio,LABORATORIO 01,Lunes,07:00,07:50,TND,TALLER DE NARRATIVA DIGITAL,D
Laboratorio,LABORATORIO 01,Martes,07:00,07:50,IDW,INTRODUCCION AL DESARROLLO WEB,A
Laboratorio,LABORATORIO 01,Miércoles,07:00,07:50,IDW,INTRODUCCION AL DESARROLLO WEB,A
Laboratorio,LABORATORIO 01,Jueves,07:00,07:50,TND,TALLER DE NARRATIVA DIGITAL,B
Laboratorio,LABORATORIO 01,Lunes,07:50,08:40,TND,TALLER DE NARRATIVA DIGITAL,D
Laboratorio,LABORATORIO 01,Martes,07:50,08:40,IDW,INTRODUCCION AL DESARROLLO WEB,A
Laboratorio,LABORATORIO 01,Miércoles,07:50,08:40,IDW,INTRODUCCION AL DESARROLLO WEB,A
Laboratorio,LABORATORIO 01,Jueves,07:50,08:40,TND,TALLER DE NARRATIVA DIGITAL,B
Laboratorio,LABORATORIO 01,Lunes,08:50,09:40,TND,TALLER DE NARRATIVA DIGITAL,E
Laboratorio,LABORATORIO 01,Martes,08:50,09:40,IDW,INTRODUCCION AL DESARROLLO WEB,C
Laboratorio,LABORATORIO 01,Miércoles,08:50,09:40,IDW,INTRODUCCION AL DESARROLLO WEB,C
Laboratorio,LABORATORIO 01,Jueves,08:50,09:40,MN,METODOS NUMERICOS,D
Laboratorio,LABORATORIO 01,Viernes,08:50,09:40,MN,METODOS NUMERICOS,B
Laboratorio,LABORATORIO 01,Lunes,09:40,10:30,TND,TALLER DE NARRATIVA DIGITAL,E
Laboratorio,LABORATORIO 01,Martes,09:40,10:30,IDW,INTRODUCCION AL DESARROLLO WEB,C
Laboratorio,LABORATORIO 01,Miércoles,09:40,10:30,IDW,INTRODUCCION AL DESARROLLO WEB,C
Laboratorio,LABORATORIO 01,Jueves,09:40,10:30,MN,METODOS NUMERICOS,D
Laboratorio,LABORATORIO 01,Viernes,09:40,10:30,MN,METODOS NUMERICOS,B
