year_num,semester_num,asignature_code,asignature_name
1,1,1701102,RAZONAMIENTO LOGICO MATEMATICO
1,1,1701103,MATEMATICA BASICA
1,1,1701104,ESTRUCTURAS DISCRETAS 1
1,1,1701105,INTRODUCCION A LA COMPUTACION
1,1,1701106,FUNDAMENTOS DE LA PROGRAMACION 1
1,1,1701114,METODOLOGIA DEL TRABAJO INTELECTUAL UNIVERSITARIO
1,1,1701145,RELACIONES HUMANAS EN EMPRESAS DE DESARROLLO DE SOFTWARE Y BASE TECNOL
1,2,1701210,CALCULO EN UNA VARIABLE
1,2,1701211,ESTRUCTURAS DISCRETAS 2
1,2,1701212,PROGRAMACION WEB 1
1,2,1701213,FUNDAMENTOS DE PROGRAMACION 2
1,2,1701216,COMUNICACION INTEGRAL
1,2,1701217,REALIDAD NACIONAL
2,1,1702118,TALLERES DE PSICOLOGIA
2,1,1702119,CALCULO EN VARIAS VARIABLES
2,1,1702120,TALLER DE LIDERAZGO Y COLABORACION
2,1,1702121,INNOVACION Y CREATIVIDAD
2,1,1702122,PROGRAMACION WEB 2
2,1,1702123,REDACCION DE ARTICULOS E INFORMES DE INVESTIGACION
2,1,1702124,ESTRUCTURA DE DATOS Y ALGORITMOS
2,1,1702125,CIUDADANIA E INTERCULTURALIDAD
2,2,1702226,"ESTADISTICA MATEMATICA, PROBABILIDADES Y METODOS EMPIRICOS"
2,2,1702227,ARQUITECTURA DE COMPUTADORAS
2,2,1702228,METODOS DE INVESTIGACION Y REDACCION
2,2,1702229,INTERACCION HUMANO COMPUTADOR
2,2,1702230,ENFOQUE EMPRESARIAL
2,2,1702231,ANALISIS Y DISENO DE ALGORITMOS
2,2,1702278,ECOLOGIA Y CONSERVACION AMBIENTAL
3,1,1703133,BASE DE DATOS
3,1,1703134,PROGRAMACION DE SISTEMAS
3,1,1703135,INGENIERIA Y PROCESOS DE SOFTWARE
3,1,1703136,TEORIA DE LA COMPUTACION
3,1,1703137,ORGANIZACION Y METODOS
3,1,1703138,INVESTIGACION DE OPERACIONES
3,2,1703239,REDES Y COMUNICACION DE DATOS
3,2,1703240,TECNOLOGIA DE OBJETOS
3,2,1703241,SISTEMAS OPERATIVOS
3,2,1703242,FUNDAMENTOS DE SISTEMAS DE INFORMACION
3,2,1703243,CONSTRUCCION DE SOFTWARE
3,2,1703244,METODOS NUMERICOS
4,1,1704146,FISICA COMPUTACIONAL
4,1,1704147,TECNOLOGIAS DE INFORMACION
4,1,1704148,INTELIGENCIA ARTIFICIAL
4,1,1704149,INGENIERIA DE REQUERIMIENTOS
4,1,1704150,SISTEMAS DISTRIBUIDOS
4,1,1704151,PRUEBAS DE SOFTWARE
4,1,1704153,INGLES
4,2,1704252,GESTION DE PROYECTOS DE SOFTWARE
4,2,1704254,CALIDAD DE SOFTWARE
4,2,1704255,AUDITORIA DE SISTEMAS
4,2,1704256,DISENO Y ARQUITECTURA DE SOFTWARE
4,2,1704257,NEGOCIOS ELECTRONICOS (E)
4,2,1704258,INTRODUCCION AL DESARROLLO DE SOFTWARE DE ENTRETENIMIENTO (E)
4,2,1704259,INTRODUCCION AL DESARROLLO DE NUEVAS PLATAFORMAS (E)
4,2,1704260,ASPECTOS FORMALES DE ESPECIFICACION Y VERIFICACION
5,1,1705161,PROYECTO DE INGENIERIA DE SOFTWARE 1
5,1,1705162,SEMINARIO DE TESIS 1
5,1,1705163,GESTION DE EMPRENDIMIENTO DE SOFTWARE
5,1,1705164,SEGURIDAD INFORMATICA
5,1,1705165,"MANTENIMIENTO, CONFIGURACION Y EVOLUCION DE SOFTWARE"
5,1,1705166,ETICA GENERAL Y PROFESIONAL
5,1,1705167,TOPICOS AVANZADOS EN BASES DE DATOS (E)
5,1,1705168,"COMPUTACION GRAFICA, VISION COMPUTACIONAL Y MULTIMEDIA (E)"
5,1,1705169,DESARROLLO AVANZADO EN NUEVAS PLATAFORMAS (E)
5,2,1705270,TOPICOS AVANZADOS EN INGENIERIA DE SOFTWARE
5,2,1705271,PRACTICAS PRE PROFESIONALES
5,2,1705273,PROYECTO DE INGENIERIA DE SOFTWARE 2
5,2,1705274,GESTION DE SISTEMAS Y TECNOLOGIAS DE INFORMACION (E)
5,2,1705275,DESARROLLO DE SOFTWARE PARA JUEGOS (E)
5,2,1705276,PLATAFORMAS EMERGENTES (E)
5,2,1705279,TRABAJO DE INVESTIGACIÓN
